iter	Passed	Remaining
399	31914	47871
400	31992	47789
401	32069	47704
402	32148	47625
403	32225	47540
404	32303	47458
405	32381	47375
406	32463	47299
407	32535	47207
408	32616	47130
409	32689	47041
410	32773	46967
411	32845	46876
412	32930	46804
413	33013	46729
414	33099	46658
415	33173	46571
416	33257	46496
417	33332	46410
418	33414	46333
419	33486	46242
420	33565	46162
421	33637	46072
422	33715	45989
423	33790	45904
424	33871	45826
425	33944	45737
426	34022	45655
427	34095	45567
428	34176	45489
429	34251	45402
430	34338	45333
431	34410	45243
432	34488	45161
433	34566	45079
434	34648	45003
435	34721	44915
436	34802	44837
437	34880	44754
438	34957	44672
439	35030	44584
440	35121	44519
441	35195	44432
442	35277	44355
443	35352	44270
444	35435	44195
445	35524	44126
446	35609	44054
447	35688	43972
448	35778	43906
449	35856	43825
450	35944	43755
451	36021	43672
452	36111	43605
453	36191	43525
454	36270	43444
455	36343	43357
456	36423	43278
457	36498	43192
458	36578	43113
459	36651	43026
460	36730	42944
461	36802	42856
462	36880	42775
463	36955	42690
464	37032	42607
465	37111	42526
466	37197	42454
467	37267	42364
468	37345	42282
469	37417	42193
470	37496	42113
471	37567	42024
472	37644	41942
473	37718	41856
474	37799	41778
475	37872	41691
476	37953	41613
477	38025	41525
478	38108	41449
479	38178	41360
480	38260	41282
481	38334	41198
482	38415	41119
483	38488	41033
484	38569	40954
485	38640	40866
486	38723	40790
487	38798	40707
488	38875	40624
489	38951	40541
490	39031	40462
491	39107	40379
492	39187	40300
493	39261	40215
494	39341	40136
495	39414	40050
496	39491	39968
497	39563	39881
498	39643	39802
499	39719	39719
500	39800	39641
501	39875	39557
502	39952	39476
503	40028	39393
504	40109	39314
505	40184	39231
506	40265	39153
507	40340	39070
508	40418	38989
509	40505	38916
510	40628	38878
511	40725	38816
512	40830	38761
513	40910	38681
514	40991	38603
515	41065	38519
516	41145	38439
517	41220	38355
518	41323	38297
519	41398	38214
520	41479	38135
521	41557	38054
522	41639	37977
523	41713	37891
524	41796	37815
525	41868	37729
526	41948	37649
527	42022	37565
528	42103	37486
529	42175	37401
530	42255	37321
531	42329	37237
532	42410	37158
533	42487	37077
534	42579	37008
535	42652	36923
536	42732	36843
537	42806	36759
538	42887	36681
539	42959	36594
540	43037	36514
541	43111	36430
542	43193	36352
543	43267	36267
544	43350	36191
545	43438	36119
546	43522	36043
547	43597	35960
548	43681	35883
549	43763	35806
550	43859	35740
551	43947	35667
552	44044	35602
553	44131	35527
554	44214	35451
555	44286	35365
556	44364	35284
557	44435	35198
558	44512	35116
559	44585	35031
560	44666	34952
561	44742	34870
562	44819	34789
563	44893	34705
564	44972	34624
565	45049	34543
566	45126	34461
567	45198	34376
568	45280	34298
569	45357	34216
570	45445	34144
571	45519	34060
572	45596	33978
573	45669	33894
574	45749	33814
575	45826	33733
576	45905	33653
577	45978	33568
578	46057	33489
579	46131	33405
580	46212	33327
581	46282	33240
582	46363	33162
583	46438	33079
584	46529	33008
585	46603	32924
586	46683	32845
587	46754	32760
588	46837	32683
589	46910	32598
590	46992	32521
591	47064	32436
592	47145	32357
593	47219	32274
594	47300	32195
595	47375	32113
596	47455	32034
597	47527	31949
598	47607	31870
599	47678	31785
600	47757	31705
601	47832	31623
602	47913	31545
603	47988	31462
604	48070	31385
605	48143	31301
606	48222	31221
607	48294	31137
608	48370	31055
609	48443	30971
610	48526	30894
611	48599	30811
612	48680	30733
613	48754	30650
614	48835	30571
615	48907	30487
616	48985	30407
617	49060	30325
618	49140	30246
619	49215	30164
620	49295	30085
621	49367	30001
622	49449	29923
623	49529	29844
624	49616	29769
625	49693	29689
626	49775	29611
627	49848	29527
628	49932	29451
629	50003	29367
630	50084	29288
631	50160	29207
632	50246	29131
633	50316	29047
634	50399	28969
635	50474	28887
636	50567	28816
637	50637	28731
638	50720	28654
639	50795	28572
640	50871	28491
641	50947	28409
642	51025	28329
643	51096	28245
644	51180	28169
645	51256	28087
646	51337	28009
647	51409	27926
648	51488	27846
649	51565	27766
650	51642	27685
651	51716	27603
652	51797	27524
653	51873	27443
654	51953	27364
655	52028	27283
656	52108	27204
657	52181	27121
658	52261	27042
659	52336	26961
660	52416	26882
661	52490	26800
662	52583	26727
663	52658	26646
664	52741	26569
665	52835	26496
666	52940	26430
667	53041	26362
668	53130	26287
669	53208	26207
670	53298	26133
671	53379	26054
672	53465	25978
673	53545	25899
674	53628	25821
675	53709	25742
676	53793	25665
677	53870	25584
678	53957	25508
679	54040	25430
680	54121	25352
