iter	RMSE
834	2519.43847
835	2517.620536
836	2515.22486
837	2514.924835
838	2512.483996
839	2509.562048
840	2507.505343
841	2504.678637
842	2503.457536
843	2502.185693
844	2500.615669
845	2497.984201
846	2496.735535
847	2495.671115
848	2493.583093
849	2492.414715
850	2490.413734
851	2488.639475
852	2487.820294
853	2486.385216
854	2485.377722
855	2482.981044
856	2480.90031
857	2478.64951
858	2477.835953
859	2476.738529
860	2476.104074
861	2475.983535
862	2473.518372
863	2471.848951
864	2469.406623
865	2466.861653
866	2464.660328
867	2462.63458
868	2460.744606
869	2459.538465
870	2456.753472
871	2456.323352
872	2455.858784
873	2454.455627
874	2453.133412
875	2451.344664
876	2449.176916
877	2447.322553
878	2445.758075
879	2443.517002
880	2441.478846
881	2439.285828
882	2437.479487
883	2435.769119
884	2434.502763
885	2432.022364
886	2431.642439
887	2430.381976
888	2428.703748
889	2427.703848
890	2426.786309
891	2425.738629
892	2422.984556
893	2422.438815
894	2421.116514
895	2420.805276
896	2419.585948
897	2417.447789
898	2416.479267
899	2415.183485
900	2414.587799
901	2411.742434
902	2410.429646
903	2410.013349
904	2409.012228
905	2408.120172
906	2406.286252
907	2404.626528
908	2403.631813
909	2401.694918
910	2400.469613
911	2399.271605
912	2398.228915
913	2396.973853
914	2394.426572
915	2392.00857
916	2390.607993
917	2389.318159
918	2387.120299
919	2385.421373
920	2384.467776
921	2382.673308
922	2381.151845
923	2380.063865
924	2379.79464
925	2377.415499
926	2375.379678
927	2373.656304
928	2372.691688
929	2371.189989
930	2369.632614
931	2368.666437
932	2367.837878
933	2366.942587
934	2365.356326
935	2363.864234
936	2362.787108
937	2361.487753
938	2359.933132
939	2359.09402
940	2358.177032
941	2356.785608
942	2356.23692
943	2354.977161
944	2353.741118
945	2350.812469
946	2350.384234
947	2349.326985
948	2348.867479
949	2347.622987
950	2345.351927
951	2343.317484
952	2342.06856
953	2341.181391
954	2340.298574
955	2338.275421
956	2336.775727
957	2335.332461
958	2333.298489
959	2330.226144
960	2328.728215
961	2328.118263
962	2327.689552
963	2325.459874
964	2324.110748
965	2321.594237
966	2319.892515
967	2318.242367
968	2317.920678
969	2316.668829
970	2315.56727
971	2314.614487
972	2314.062658
973	2312.519847
974	2311.953101
975	2310.697912
976	2309.33313
977	2307.859599
978	2306.463172
979	2304.946333
980	2304.150291
981	2302.675305
982	2301.699724
983	2301.464684
984	2300.262861
985	2298.253579
986	2296.185355
987	2295.328294
988	2293.885777
989	2293.164648
990	2292.53998
991	2292.226745
992	2289.657528
993	2288.103903
994	2286.844847
995	2286.204974
996	2284.963882
997	2282.526365
998	2281.502948
999	2280.200941
